model,prompt_variant,id,family,plan_valid,plan_match,multi_step,has_translate,last_numeric,repaired,n_steps,oracle_n_steps,intents_predicted,intents_oracle,latency_ms
mamay4,minimal_v3,eval_HW_add_1,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,30984.3
mamay4,minimal_v3,eval_HW_sub_2,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,30643.9
mamay4,minimal_v3,eval_HW_mul_1,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,29376.8
mamay4,minimal_v3,eval_WS_sub_1,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,52812.6
mamay4,minimal_v3,eval_WS_div_2,web_shopping,True,False,True,True,True,False,4,2,knowledge>translate>knowledge>code,knowledge>instruct,14584.3
mamay4,minimal_v3,eval_WS_add_3,web_shopping,True,False,True,True,True,False,4,2,knowledge>translate>knowledge>code,knowledge>instruct,16852.6
mamay4,minimal_v3,eval_SE_sub_1,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,37795.6
mamay4,minimal_v3,eval_SE_mul_2,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,50274.9
mamay4,minimal_v3,eval_SE_div_4,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,43200.8
mamay4,minimal_v3,eval_SA_add_2,smart_assistant,False,False,False,False,False,True,1,2,chat,knowledge>instruct,23928.1
mamay4,minimal_v3,eval_SA_mul_4,smart_assistant,False,False,False,False,False,True,1,2,knowledge,knowledge>instruct,45230.5
mamay4,minimal_v3,eval_SA_div_2,smart_assistant,False,False,False,False,False,True,1,2,chat,knowledge>instruct,54721.7
mamay4,minimal_v3,eval_TA_add_2,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,34268.8
mamay4,minimal_v3,eval_TA_sub_2,travel_agent,True,False,True,True,True,False,4,2,knowledge>translate>knowledge>code,knowledge>instruct,12800.8
mamay4,minimal_v3,eval_TA_div_3,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,34220.9
mamay4,minimal_v3,eval_HW_add_2,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,34479.3
mamay4,minimal_v3,eval_HW_add_3,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,34075.3
mamay4,minimal_v3,eval_HW_sub_1,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,91223.7
mamay4,minimal_v3,eval_HW_sub_3,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,39264.7
mamay4,minimal_v3,eval_HW_mul_3,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,24624.9
mamay4,minimal_v3,eval_HW_div_1,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,31295.7
mamay4,minimal_v3,eval_HW_div_2,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,43452.9
mamay4,minimal_v3,eval_WS_add_1,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,27658.9
mamay4,minimal_v3,eval_WS_add_2,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,48480.1
mamay4,minimal_v3,eval_WS_sub_2,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,46920.6
mamay4,minimal_v3,eval_WS_sub_3,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,39041.5
mamay4,minimal_v3,eval_WS_mul_1,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,42656.7
mamay4,minimal_v3,eval_WS_mul_2,web_shopping,True,False,True,True,True,False,4,2,knowledge>translate>knowledge>code,knowledge>instruct,14945.9
mamay4,minimal_v3,eval_WS_div_1,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,24824.1
mamay4,minimal_v3,eval_SE_add_1,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,24276.3
mamay4,minimal_v3,eval_SE_add_2,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,25820.8
mamay4,minimal_v3,eval_SE_add_3,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,24665.4
mamay4,minimal_v3,eval_SE_sub_2,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,61442.2
mamay4,minimal_v3,eval_SE_sub_3,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,33844.9
mamay4,minimal_v3,eval_SE_mul_1,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,29048.4
mamay4,minimal_v3,eval_SE_div_1,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,29756.6
mamay4,minimal_v3,eval_SA_add_1,smart_assistant,False,False,False,False,False,True,1,2,chat,knowledge>instruct,44373.7
mamay4,minimal_v3,eval_SA_add_3,smart_assistant,False,False,False,False,False,True,1,2,chat,knowledge>instruct,28980.1
mamay4,minimal_v3,eval_SA_sub_1,smart_assistant,False,False,False,False,False,True,1,2,knowledge,knowledge>instruct,48705.4
mamay4,minimal_v3,eval_SA_sub_2,smart_assistant,False,False,False,False,False,True,1,2,chat,knowledge>instruct,29802.9
mamay4,minimal_v3,eval_SA_mul_1,smart_assistant,False,False,False,False,False,True,1,2,knowledge,knowledge>instruct,24722.6
mamay4,minimal_v3,eval_SA_mul_2,smart_assistant,False,False,False,False,False,True,1,2,knowledge,knowledge>instruct,21040.9
mamay4,minimal_v3,eval_SA_div_1,smart_assistant,False,False,False,False,False,True,1,2,chat,knowledge>instruct,42322.0
mamay4,minimal_v3,eval_TA_add_1,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,34173.2
mamay4,minimal_v3,eval_TA_add_3,travel_agent,True,False,True,True,True,False,4,2,knowledge>translate>knowledge>code,knowledge>instruct,14067.8
mamay4,minimal_v3,eval_TA_sub_1,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,63564.4
mamay4,minimal_v3,eval_TA_sub_3,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,83029.3
mamay4,minimal_v3,eval_TA_mul_1,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,41679.0
mamay4,minimal_v3,eval_TA_mul_2,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,37509.3
mamay4,minimal_v3,eval_TA_div_1,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,50878.1
