id,bucket,role,source,mamay4_score,lapa_score,aya_score,mamay12_score,mamay4_latency_ms,lapa_latency_ms,aya_latency_ms,mamay12_latency_ms,best_of_mamay4_lapa_aya,score_var_3,cite_as_thesis
arc-ACTAAP_2007_7_5,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,4673.8,496.1,2954.6,0.3,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-ACTAAP_2008_5_10,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,703.9,679.2,1312.1,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-ACTAAP_2008_7_15,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,534.9,496.5,1461.8,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-ACTAAP_2008_7_2,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,312.8,439.2,1364.1,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-ACTAAP_2009_7_17,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,1097.8,931.6,1564.9,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-ACTAAP_2010_5_14,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,751.3,679.1,1967.1,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-ACTAAP_2012_7_9,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,931.9,801.6,4896.0,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-ACTAAP_2013_7_17,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,178.7,18700.0,1515.3,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-ACTAAP_2014_7_3,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,1011.6,866.1,2238.9,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-AIMS_2008_8_5,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,527.3,434.3,1353.4,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-AKDE&ED_2008_4_19,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,755.1,740.6,1637.3,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-AKDE&ED_2008_4_21,knowledge,headline,arc-challenge_ukr,0.0,0.0,0.0,0.0,224.7,310.4,1772.1,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-AKDE&ED_2008_8_44,knowledge,headline,arc-challenge_ukr,0.0,0.0,0.0,0.0,401.5,555.1,2158.0,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-AKDE&ED_2008_8_53,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,892.3,871.4,2584.7,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-CSZ_2005_5_CSZ10383,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,790.3,816.9,1638.2,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-LEAP_2007_8_10418,knowledge,headline,arc-challenge_ukr,0.0,0.0,0.0,0.0,709.1,559.5,3549.9,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-LEAP__5_10312,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,490.8,505.2,1644.1,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-LEAP__7_10339,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,137.4,1674.1,1952.3,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-LEAP__7_10351,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,1417.3,8202.4,4033.9,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-LEAP__7_10352,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,136.9,10317.2,71.0,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MCAS_1998_8_2,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,489.6,493.5,1379.6,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MCAS_1999_8_22,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,399.0,433.1,69.6,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MCAS_2000_4_4,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,1057.1,1292.2,1122.5,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MCAS_2003_5_14,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,747.9,678.9,2061.4,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MCAS_2004_8_3,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,357.7,376.4,61.2,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MCAS_2004_9_15-v1,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,1053.8,1109.8,2809.9,0.3,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MCAS_2006_8_13,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,833.7,684.6,1352.0,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MCAS_2006_9_30,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,447.6,493.7,1235.4,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MCAS_2006_9_34,knowledge,headline,arc-challenge_ukr,0.0,0.0,0.0,0.0,309.2,14599.3,5234.8,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MCAS_2006_9_42-v1,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,706.0,617.5,4624.5,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MCAS_2010_5_11998,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,667.3,688.2,1583.6,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MCAS_2013_5_29411,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,313.9,370.8,865.2,0.3,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MCAS_2013_8_29416,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,656.2,738.6,3873.4,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MCAS_2014_8_20,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,615.9,569.8,1548.4,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MCAS_8_2015_11,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,440.2,503.8,2945.9,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MDSA_2007_8_42,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,1066.9,993.2,2450.7,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MDSA_2008_8_26,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,447.1,436.8,1144.4,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MDSA_2009_5_39,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,574.7,628.2,1708.4,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MEAP_2005_8_39,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,614.7,684.6,908.9,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MEAP_2005_8_46,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,833.2,809.3,1045.3,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MEA_2010_8_18,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,877.9,746.8,1506.4,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MEA_2014_8_15,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,135.6,7082.6,3267.4,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MSA_2013_8_3,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,933.1,871.1,1452.3,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-MSA_2015_8_37,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,755.1,684.2,1388.2,0.3,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-Mercury_176855,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,312.9,314.1,1614.4,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-Mercury_178325,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,269.6,312.5,1215.2,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-Mercury_180163,knowledge,headline,arc-challenge_ukr,0.0,0.0,0.0,0.0,490.6,493.5,1159.4,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-Mercury_182718,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,1049.9,923.2,2799.9,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-Mercury_183960,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,1014.3,984.3,1640.5,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-Mercury_183978,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,483.2,556.5,3541.2,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-Mercury_185325,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,352.0,375.5,1056.8,0.3,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-Mercury_187075,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,527.4,190.0,2084.7,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-Mercury_400500,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,614.6,562.1,1442.6,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-Mercury_400639,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,397.6,435.8,1216.5,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
arc-Mercury_401011,knowledge,headline,arc-challenge_ukr,1.0,1.0,1.0,0.0,657.2,620.6,1276.3,0.2,mamay4+lapa+aya,0.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet
