model,prompt_variant,id,family,plan_valid,plan_match,repaired,n_steps,oracle_n_steps,intents_predicted,intents_oracle,latency_ms
mamay12,current_v2,comp-tc-001,translate_code,True,True,False,2,2,translate>code,translate>code,10836.7
mamay12,current_v2,comp-tc-002,translate_code,True,True,False,2,2,translate>code,translate>code,12233.9
mamay12,current_v2,comp-tc-003,translate_code,True,True,False,2,2,translate>code,translate>code,10685.4
mamay12,current_v2,comp-tc-004,translate_code,True,True,False,2,2,translate>code,translate>code,10743.2
mamay12,current_v2,comp-tc-005,translate_code,True,True,False,2,2,translate>code,translate>code,10683.4
mamay12,current_v2,comp-tc-006,translate_code,True,True,False,2,2,translate>code,translate>code,10619.4
mamay12,current_v2,comp-tc-007,translate_code,True,True,False,2,2,translate>code,translate>code,10676.2
mamay12,current_v2,comp-tc-008,translate_code,True,True,False,2,2,translate>code,translate>code,12293.0
mamay12,current_v2,comp-tc-009,translate_code,True,True,False,2,2,translate>code,translate>code,10297.4
mamay12,current_v2,comp-tc-010,translate_code,True,True,False,2,2,translate>code,translate>code,10599.6
mamay12,current_v2,comp-tc-011,translate_code,True,True,False,2,2,translate>code,translate>code,10522.9
mamay12,current_v2,comp-tc-012,translate_code,True,True,False,2,2,translate>code,translate>code,10424.7
mamay12,current_v2,comp-ke-001,knowledge_explain,True,True,False,2,2,knowledge>instruct,knowledge>instruct,10052.0
mamay12,current_v2,comp-ke-002,knowledge_explain,True,True,False,2,2,knowledge>instruct,knowledge>instruct,10923.5
mamay12,current_v2,comp-ke-003,knowledge_explain,True,True,False,2,2,knowledge>instruct,knowledge>instruct,10048.2
mamay12,current_v2,comp-ke-004,knowledge_explain,True,True,False,2,2,knowledge>instruct,knowledge>instruct,10100.0
mamay12,current_v2,comp-ke-005,knowledge_explain,True,True,False,2,2,knowledge>instruct,knowledge>instruct,10056.9
mamay12,current_v2,comp-ke-006,knowledge_explain,True,True,False,2,2,knowledge>instruct,knowledge>instruct,10605.5
mamay12,current_v2,comp-ke-007,knowledge_explain,True,True,False,2,2,knowledge>instruct,knowledge>instruct,10048.7
mamay12,current_v2,comp-ke-008,knowledge_explain,True,True,False,2,2,knowledge>instruct,knowledge>instruct,9858.1
mamay12,current_v2,comp-ke-009,knowledge_explain,True,True,False,2,2,knowledge>instruct,knowledge>instruct,11088.0
mamay12,current_v2,comp-ke-010,knowledge_explain,True,True,False,2,2,knowledge>instruct,knowledge>instruct,10156.5
mamay12,current_v2,comp-ke-011,knowledge_explain,True,True,False,2,2,knowledge>instruct,knowledge>instruct,9859.8
mamay12,current_v2,comp-ke-012,knowledge_explain,True,True,False,2,2,knowledge>instruct,knowledge>instruct,9051.4
mamay12,current_v2,comp-tkw-001,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,14127.4
mamay12,current_v2,comp-tkw-002,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,14066.8
mamay12,current_v2,comp-tkw-003,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,14385.2
mamay12,current_v2,comp-tkw-004,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,14680.9
mamay12,current_v2,comp-tkw-005,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,14681.1
mamay12,current_v2,comp-tkw-006,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,14312.6
mamay12,current_v2,comp-tkw-007,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,14065.9
mamay12,current_v2,comp-tkw-008,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,14797.1
mamay12,current_v2,comp-tkw-009,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,15115.1
mamay12,current_v2,comp-tkw-010,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,15106.5
mamay12,current_v2,comp-tkw-011,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,14126.0
mamay12,current_v2,comp-tkw-012,translate_knowledge_write,True,True,False,3,3,translate>knowledge>instruct,translate>knowledge>instruct,14313.0
mamay12,minimal_v3,comp-tc-001,translate_code,True,False,False,2,2,translate>instruct,translate>code,11859.8
mamay12,minimal_v3,comp-tc-002,translate_code,False,False,True,1,2,translate,translate>code,31667.9
mamay12,minimal_v3,comp-tc-003,translate_code,False,False,True,1,2,translate,translate>code,31657.2
mamay12,minimal_v3,comp-tc-004,translate_code,True,True,False,2,2,translate>code,translate>code,13114.6
mamay12,minimal_v3,comp-tc-005,translate_code,True,True,False,2,2,translate>code,translate>code,12744.5
mamay12,minimal_v3,comp-tc-006,translate_code,False,False,True,1,2,translate,translate>code,31705.0
mamay12,minimal_v3,comp-tc-007,translate_code,True,False,False,2,2,translate>instruct,translate>code,13373.7
mamay12,minimal_v3,comp-tc-008,translate_code,False,False,True,1,2,translate,translate>code,31739.6
mamay12,minimal_v3,comp-tc-009,translate_code,True,True,False,2,2,translate>code,translate>code,12454.5
mamay12,minimal_v3,comp-tc-010,translate_code,False,False,True,1,2,translate,translate>code,31741.2
mamay12,minimal_v3,comp-tc-011,translate_code,True,True,False,2,2,translate>code,translate>code,11772.5
mamay12,minimal_v3,comp-tc-012,translate_code,True,True,False,2,2,translate>code,translate>code,12585.3
mamay12,minimal_v3,comp-ke-001,knowledge_explain,True,False,False,2,2,knowledge>alignment,knowledge>instruct,11047.6
mamay12,minimal_v3,comp-ke-002,knowledge_explain,True,False,False,2,2,knowledge>alignment,knowledge>instruct,10872.0
mamay12,minimal_v3,comp-ke-003,knowledge_explain,True,False,False,2,2,knowledge>alignment,knowledge>instruct,10230.7
