model,prompt_variant,id,family,plan_valid,plan_match,multi_step,has_translate,last_numeric,repaired,n_steps,oracle_n_steps,intents_predicted,intents_oracle,latency_ms
mamay4,current_v2,eval_HW_add_1,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22717.7
mamay4,current_v2,eval_HW_sub_2,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22671.3
mamay4,current_v2,eval_HW_mul_1,house_working,True,False,True,True,True,False,2,2,translate>code,knowledge>instruct,8327.3
mamay4,current_v2,eval_WS_sub_1,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22661.0
mamay4,current_v2,eval_WS_div_2,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22703.6
mamay4,current_v2,eval_WS_add_3,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22693.0
mamay4,current_v2,eval_SE_sub_1,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22725.1
mamay4,current_v2,eval_SE_mul_2,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22708.4
mamay4,current_v2,eval_SE_div_4,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22703.7
mamay4,current_v2,eval_SA_add_2,smart_assistant,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22718.8
mamay4,current_v2,eval_SA_mul_4,smart_assistant,False,False,False,False,False,True,1,2,knowledge,knowledge>instruct,22721.7
mamay4,current_v2,eval_SA_div_2,smart_assistant,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22658.7
mamay4,current_v2,eval_TA_add_2,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22638.0
mamay4,current_v2,eval_TA_sub_2,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22699.0
mamay4,current_v2,eval_TA_div_3,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22682.5
mamay4,current_v2,eval_HW_add_2,house_working,True,False,True,True,True,False,3,2,translate>knowledge>instruct,knowledge>instruct,10928.2
mamay4,current_v2,eval_HW_add_3,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22704.6
mamay4,current_v2,eval_HW_sub_1,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22726.5
mamay4,current_v2,eval_HW_sub_3,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22709.9
mamay4,current_v2,eval_HW_mul_3,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22714.7
mamay4,current_v2,eval_HW_div_1,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22687.4
mamay4,current_v2,eval_HW_div_2,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22664.9
mamay4,current_v2,eval_WS_add_1,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22653.4
mamay4,current_v2,eval_WS_add_2,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22680.3
mamay4,current_v2,eval_WS_sub_2,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22647.4
mamay4,current_v2,eval_WS_sub_3,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22701.6
mamay4,current_v2,eval_WS_mul_1,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22711.5
mamay4,current_v2,eval_WS_mul_2,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22704.1
mamay4,current_v2,eval_WS_div_1,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22702.5
mamay4,current_v2,eval_SE_add_1,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22705.9
mamay4,current_v2,eval_SE_add_2,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22694.4
mamay4,current_v2,eval_SE_add_3,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22695.4
mamay4,current_v2,eval_SE_sub_2,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22725.9
mamay4,current_v2,eval_SE_sub_3,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22692.3
mamay4,current_v2,eval_SE_mul_1,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22718.1
mamay4,current_v2,eval_SE_div_1,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22686.0
mamay4,current_v2,eval_SA_add_1,smart_assistant,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22728.0
mamay4,current_v2,eval_SA_add_3,smart_assistant,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22675.6
mamay4,current_v2,eval_SA_sub_1,smart_assistant,False,False,False,False,False,True,1,2,knowledge,knowledge>instruct,22670.8
mamay4,current_v2,eval_SA_sub_2,smart_assistant,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22684.0
mamay4,current_v2,eval_SA_mul_1,smart_assistant,False,False,False,False,False,True,1,2,knowledge,knowledge>instruct,19494.7
mamay4,current_v2,eval_SA_mul_2,smart_assistant,False,False,False,False,False,True,1,2,knowledge,knowledge>instruct,22681.4
mamay4,current_v2,eval_SA_div_1,smart_assistant,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22683.7
mamay4,current_v2,eval_TA_add_1,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22691.8
mamay4,current_v2,eval_TA_add_3,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22718.6
mamay4,current_v2,eval_TA_sub_1,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22686.1
mamay4,current_v2,eval_TA_sub_3,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22660.9
mamay4,current_v2,eval_TA_mul_1,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22636.7
mamay4,current_v2,eval_TA_mul_2,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22647.2
mamay4,current_v2,eval_TA_div_1,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22643.3
mamay4,minimal_v3,eval_HW_add_1,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22634.2
mamay4,minimal_v3,eval_HW_sub_2,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22683.4
mamay4,minimal_v3,eval_HW_mul_1,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22656.0
mamay4,minimal_v3,eval_WS_sub_1,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22668.5
mamay4,minimal_v3,eval_WS_div_2,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22647.4
mamay4,minimal_v3,eval_WS_add_3,web_shopping,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22691.1
mamay4,minimal_v3,eval_SE_sub_1,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22701.6
mamay4,minimal_v3,eval_SE_mul_2,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22705.5
mamay4,minimal_v3,eval_SE_div_4,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22703.3
mamay4,minimal_v3,eval_SA_add_2,smart_assistant,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22713.5
mamay4,minimal_v3,eval_SA_mul_4,smart_assistant,False,False,False,False,False,True,1,2,knowledge,knowledge>instruct,22726.4
mamay4,minimal_v3,eval_SA_div_2,smart_assistant,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22724.3
mamay4,minimal_v3,eval_TA_add_2,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22692.8
mamay4,minimal_v3,eval_TA_sub_2,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22704.6
mamay4,minimal_v3,eval_TA_div_3,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22717.4
mamay4,minimal_v3,eval_HW_add_2,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22703.6
mamay4,minimal_v3,eval_HW_add_3,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22698.1
mamay4,minimal_v3,eval_HW_sub_1,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22723.8
mamay4,minimal_v3,eval_HW_sub_3,house_working,False,False,False,False,False,True,1,2,chat,knowledge>instruct,22705.9
