system,suite,bucket,role,n,quality_mean,latency_p50_ms,latency_avg_ms,cite_as_thesis,note
mamay4,mixed_ua_v6,chat,appendix,19,1.0,3294.1,4174.4,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,
mamay4,mixed_ua_v6,code,appendix,19,1.0,2471.7,2693.5,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,
mamay4,mixed_ua_v6,translate,headline,683,0.6345,973.1,1237.1,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,
mamay4,mixed_ua_v6,instruct,headline,327,0.524,12962.5,15663.7,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,
mamay4,mixed_ua_v6,knowledge,headline,683,0.7335,491.1,1228.6,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,
mamay4,mixed_ua_v6,alignment,headline,683,0.6764,135.1,135.2,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,
lapa,mixed_ua_v6,chat,appendix,19,1.0,4115.0,6041.8,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,
lapa,mixed_ua_v6,code,appendix,19,1.0,23372.3,21311.2,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,
lapa,mixed_ua_v6,translate,headline,683,0.6472,1102.5,1254.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,
lapa,mixed_ua_v6,instruct,headline,327,0.5148,13317.3,16506.1,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,
lapa,mixed_ua_v6,knowledge,headline,683,0.7379,438.0,1110.8,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,
lapa,mixed_ua_v6,alignment,headline,683,0.6764,188.1,188.3,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,
aya,mixed_ua_v6,chat,appendix,19,1.0,2220.8,2868.0,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,
aya,mixed_ua_v6,code,appendix,19,1.0,653.0,832.8,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,
aya,mixed_ua_v6,translate,headline,683,0.646,404.8,487.5,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,
aya,mixed_ua_v6,instruct,headline,327,0.5148,6543.9,7951.4,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,
aya,mixed_ua_v6,knowledge,headline,683,0.7335,1337.8,1744.3,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,
aya,mixed_ua_v6,alignment,headline,683,0.6764,1130.7,1104.1,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,
mamay12,mixed_ua_v6,chat,appendix,0,,,,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,mamay12 knowledge/alignment/code are failed empty generations
mamay12,mixed_ua_v6,code,appendix,0,,,,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,mamay12 knowledge/alignment/code are failed empty generations
mamay12,mixed_ua_v6,translate,headline,0,,,,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,mamay12 knowledge/alignment/code are failed empty generations
mamay12,mixed_ua_v6,instruct,headline,0,,,,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,mamay12 knowledge/alignment/code are failed empty generations
mamay12,mixed_ua_v6,knowledge,headline,0,,,,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,mamay12 knowledge/alignment/code are failed empty generations
mamay12,mixed_ua_v6,alignment,headline,0,,,,NO — screening pass sliced to frozen mixed_ua_v6 ids; official 3× bake-off not scored yet,mamay12 knowledge/alignment/code are failed empty generations
