system,suite,bucket,role,n,quality_mean,latency_p50_ms,latency_avg_ms,cite_as_thesis,note
mamay4,mixed_ua_v6_screen,chat,appendix,32,0.9531,3559.9,6812.0,"NO — screening pool, not the frozen v6 suite",
mamay4,mixed_ua_v6_screen,code,appendix,32,0.9844,2541.3,2599.6,"NO — screening pool, not the frozen v6 suite",
mamay4,mixed_ua_v6_screen,translate,headline,1200,0.6739,963.7,1154.0,"NO — screening pool, not the frozen v6 suite",
mamay4,mixed_ua_v6_screen,instruct,headline,573,0.571,13612.0,16962.7,"NO — screening pool, not the frozen v6 suite",
mamay4,mixed_ua_v6_screen,knowledge,headline,1200,0.5375,534.2,1493.7,"NO — screening pool, not the frozen v6 suite",
mamay4,mixed_ua_v6_screen,alignment,headline,1200,0.6108,135.4,135.4,"NO — screening pool, not the frozen v6 suite",
lapa,mixed_ua_v6_screen,chat,appendix,32,0.9531,5649.2,8528.7,"NO — screening pool, not the frozen v6 suite",
lapa,mixed_ua_v6_screen,code,appendix,32,0.9375,22422.3,21378.1,"NO — screening pool, not the frozen v6 suite",
lapa,mixed_ua_v6_screen,translate,headline,1200,0.4406,1172.6,1318.9,"NO — screening pool, not the frozen v6 suite",
lapa,mixed_ua_v6_screen,instruct,headline,573,0.4695,14142.1,17264.6,"NO — screening pool, not the frozen v6 suite",
lapa,mixed_ua_v6_screen,knowledge,headline,1200,0.7517,437.1,1438.7,"NO — screening pool, not the frozen v6 suite",
lapa,mixed_ua_v6_screen,alignment,headline,1200,0.7142,188.5,188.6,"NO — screening pool, not the frozen v6 suite",
aya,mixed_ua_v6_screen,chat,appendix,32,0.875,3280.9,4605.6,"NO — screening pool, not the frozen v6 suite",
aya,mixed_ua_v6_screen,code,appendix,32,0.9531,672.5,805.4,"NO — screening pool, not the frozen v6 suite",
aya,mixed_ua_v6_screen,translate,headline,1200,0.6893,404.9,460.5,"NO — screening pool, not the frozen v6 suite",
aya,mixed_ua_v6_screen,instruct,headline,573,0.5047,6832.0,8001.8,"NO — screening pool, not the frozen v6 suite",
aya,mixed_ua_v6_screen,knowledge,headline,1200,0.6317,1463.0,1925.5,"NO — screening pool, not the frozen v6 suite",
aya,mixed_ua_v6_screen,alignment,headline,1200,0.6675,1111.5,1061.5,"NO — screening pool, not the frozen v6 suite",
mamay12,mixed_ua_v6_screen,chat,appendix,32,0.9688,4992.9,8744.8,"NO — screening pool, not the frozen v6 suite",mamay12 knowledge/alignment/code are failed empty generations
mamay12,mixed_ua_v6_screen,code,appendix,32,0.0,0.2,0.2,"NO — screening pool, not the frozen v6 suite",mamay12 knowledge/alignment/code are failed empty generations
mamay12,mixed_ua_v6_screen,translate,headline,1200,0.696,1359.3,1615.6,"NO — screening pool, not the frozen v6 suite",mamay12 knowledge/alignment/code are failed empty generations
mamay12,mixed_ua_v6_screen,instruct,headline,573,0.2152,0.2,7407.1,"NO — screening pool, not the frozen v6 suite",mamay12 knowledge/alignment/code are failed empty generations
mamay12,mixed_ua_v6_screen,knowledge,headline,1200,0.0,0.2,0.2,"NO — screening pool, not the frozen v6 suite",mamay12 knowledge/alignment/code are failed empty generations
mamay12,mixed_ua_v6_screen,alignment,headline,1200,0.0,0.2,0.2,"NO — screening pool, not the frozen v6 suite",mamay12 knowledge/alignment/code are failed empty generations
