run_group,run_date,system,suite,suite_items,n_repeats,scorer_epoch,comparable_key,scope,status,bucket,metric,score_kind,value,sd_across_repeats,ci_low,ci_high,ci_method,n_items,artifact,notes
week_1_wiring_smoke,2026-07-25,mamay12,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,overall,overall_micro,,0.8769,,0.7781,0.9604,bootstrap_items_percentile_95,40,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay12,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,overall,latency_p50_ms,,1535.2,,,,,40,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay12,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,overall,latency_avg_ms,,2974.7,,,,,40,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay12,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,chat,quality,ordinal_quarter,1.0,,1.0,1.0,bootstrap_items_percentile_95,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay12,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,chat,latency_p50_ms,ordinal_quarter,5201.3,,,,,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay12,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,code,quality,binary_exec,1.0,,1.0,1.0,bootstrap_items_percentile_95,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay12,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,code,latency_p50_ms,binary_exec,1895.6,,,,,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay12,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,instruct,quality,binary_format,0.875,,0.625,1.0,bootstrap_items_percentile_95,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay12,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,instruct,latency_p50_ms,binary_format,1535.2,,,,,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay12,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,knowledge,quality,binary_label,0.875,,0.625,1.0,bootstrap_items_percentile_95,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay12,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,knowledge,latency_p50_ms,binary_label,1405.6,,,,,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay12,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,translate,quality,continuous_chrf,0.6344,,0.3579,0.867,bootstrap_items_percentile_95,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay12,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,translate,latency_p50_ms,continuous_chrf,1170.6,,,,,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay4,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,overall,overall_micro,,0.8805,,0.7871,0.9607,bootstrap_items_percentile_95,40,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay4,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,overall,latency_p50_ms,,1707.9,,,,,40,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay4,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,overall,latency_avg_ms,,3129.0,,,,,40,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay4,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,chat,quality,ordinal_quarter,1.0,,1.0,1.0,bootstrap_items_percentile_95,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay4,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,chat,latency_p50_ms,ordinal_quarter,3282.2,,,,,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay4,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,code,quality,binary_exec,1.0,,1.0,1.0,bootstrap_items_percentile_95,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay4,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,code,latency_p50_ms,binary_exec,2521.5,,,,,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay4,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,instruct,quality,binary_format,0.875,,0.625,1.0,bootstrap_items_percentile_95,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay4,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,instruct,latency_p50_ms,binary_format,1304.4,,,,,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay4,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,knowledge,quality,binary_label,0.875,,0.625,1.0,bootstrap_items_percentile_95,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay4,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,knowledge,latency_p50_ms,binary_label,1530.9,,,,,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay4,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,translate,quality,continuous_chrf,0.6527,,0.4191,0.8669,bootstrap_items_percentile_95,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,mamay4,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,translate,latency_p50_ms,continuous_chrf,1128.2,,,,,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,router_small,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,overall,overall_micro,,0.8568,,0.7549,0.9472,bootstrap_items_percentile_95,40,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,router_small,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,overall,latency_p50_ms,,2427.8,,,,,40,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,router_small,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,overall,latency_avg_ms,,3533.4,,,,,40,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,router_small,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,chat,quality,ordinal_quarter,1.0,,1.0,1.0,bootstrap_items_percentile_95,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,router_small,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,chat,latency_p50_ms,ordinal_quarter,4671.1,,,,,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,router_small,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,code,quality,binary_exec,0.875,,0.625,1.0,bootstrap_items_percentile_95,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,router_small,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,code,latency_p50_ms,binary_exec,3836.7,,,,,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
week_1_wiring_smoke,2026-07-25,router_small,mixed_ua_v0,40,1,unknown_early,mixed_ua_v0|unknown_early,full_suite,superseded,instruct,quality,binary_format,0.875,,0.625,1.0,bootstrap_items_percentile_95,8,results/week_1_wiring_smoke/scores_small_vs_large.json,"Wiring smoke test, unpinned decoding."
