model,prompt_variant,id,family,plan_valid,plan_match,multi_step,has_translate,last_numeric,repaired,n_steps,oracle_n_steps,intents_predicted,intents_oracle,latency_ms
mamay4,current_v2,eval_SE_sub_1,science_experiments,True,False,True,True,True,False,4,2,translate>knowledge>knowledge>instruct,knowledge>instruct,21832.1
mamay4,current_v2,eval_SE_mul_2,science_experiments,True,False,True,True,True,False,3,2,translate>knowledge>instruct,knowledge>instruct,21530.4
mamay4,current_v2,eval_SE_div_4,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,45451.6
mamay4,current_v2,eval_TA_add_2,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,45214.4
mamay4,current_v2,eval_TA_sub_2,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,45122.1
mamay4,current_v2,eval_TA_div_3,travel_agent,True,False,True,True,True,False,4,2,translate>knowledge>knowledge>instruct,knowledge>instruct,20827.9
mamay4,current_v2,eval_SE_add_1,science_experiments,True,False,True,True,True,False,3,2,translate>knowledge>instruct,knowledge>instruct,15651.2
mamay4,current_v2,eval_SE_add_2,science_experiments,True,False,True,True,True,False,3,2,translate>knowledge>code,knowledge>instruct,14603.5
mamay4,current_v2,eval_SE_add_3,science_experiments,True,False,True,True,True,False,3,2,translate>knowledge>instruct,knowledge>instruct,10296.3
mamay4,current_v2,eval_SE_sub_2,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,45320.7
mamay4,current_v2,eval_SE_sub_3,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,38294.9
mamay4,current_v2,eval_SE_mul_1,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,45277.2
mamay4,current_v2,eval_SE_div_1,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,44465.2
mamay4,current_v2,eval_TA_add_1,travel_agent,True,False,True,True,True,False,3,2,translate>knowledge>instruct,knowledge>instruct,15453.3
mamay4,current_v2,eval_TA_add_3,travel_agent,True,False,True,True,True,False,3,2,translate>knowledge>instruct,knowledge>instruct,17202.4
mamay4,current_v2,eval_TA_sub_1,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,40586.2
mamay4,current_v2,eval_TA_sub_3,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,45424.4
mamay4,current_v2,eval_TA_mul_1,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,45537.5
mamay4,current_v2,eval_TA_mul_2,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,45481.1
mamay4,current_v2,eval_TA_div_1,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,45341.6
mamay4,minimal_v3,eval_SE_sub_1,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,39959.1
mamay4,minimal_v3,eval_SE_mul_2,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,45136.0
mamay4,minimal_v3,eval_SE_div_4,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,38532.0
mamay4,minimal_v3,eval_TA_add_2,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,32698.7
mamay4,minimal_v3,eval_TA_sub_2,travel_agent,True,False,True,True,True,False,4,2,knowledge>translate>knowledge>code,knowledge>instruct,13015.4
mamay4,minimal_v3,eval_TA_div_3,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,33583.2
mamay4,minimal_v3,eval_SE_add_1,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,23944.7
mamay4,minimal_v3,eval_SE_add_2,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,26721.5
mamay4,minimal_v3,eval_SE_add_3,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,24415.4
mamay4,minimal_v3,eval_SE_sub_2,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,45365.0
mamay4,minimal_v3,eval_SE_sub_3,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,28206.5
mamay4,minimal_v3,eval_SE_mul_1,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,28773.2
mamay4,minimal_v3,eval_SE_div_1,science_experiments,False,False,False,False,False,True,1,2,chat,knowledge>instruct,29870.8
mamay4,minimal_v3,eval_TA_add_1,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,36311.2
mamay4,minimal_v3,eval_TA_add_3,travel_agent,True,False,True,True,True,False,4,2,knowledge>translate>knowledge>code,knowledge>instruct,13933.0
mamay4,minimal_v3,eval_TA_sub_1,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,45123.0
mamay4,minimal_v3,eval_TA_sub_3,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,45151.0
mamay4,minimal_v3,eval_TA_mul_1,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,31281.3
mamay4,minimal_v3,eval_TA_mul_2,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,41198.7
mamay4,minimal_v3,eval_TA_div_1,travel_agent,False,False,False,False,False,True,1,2,chat,knowledge>instruct,45449.7
